,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
COUNTY,4,NE,Nebraska,Deuel County,850,192,23,9,11.92,801,426,491,653,886,889,61700,18510,41358,1034,463,468,620,240,17040,19640,26120,35440,35560,8.19,9.44,12.56,17.04,17.1,36,42,56,76,76,27,32,42,57,57
COUNTY,4,NE,Nebraska,Dixon County,2290,528,23,9,10.3,801,514,606,806,1011,1098,65100,19530,31127,778,488,468,536,240,20560,24240,32240,40440,43920,9.88,11.65,15.5,19.44,21.12,44,52,69,86,94,38,45,60,76,82
COUNTY,4,NE,Nebraska,Dodge County,15063,5166,34,9,12.05,801,467,550,732,947,1062,60900,18270,35894,897,457,468,626,240,18680,22000,29280,37880,42480,8.98,10.58,14.08,18.21,20.42,40,47,63,81,91,30,35,47,60,68
COUNTY,4,NE,Nebraska,Douglas County,210931,81369,39,9,14.33,801,606,744,927,1248,1377,81600,24480,33758,844,612,468,745,240,24240,29760,37080,49920,55080,11.65,14.31,17.83,24,26.48,52,64,79,107,118,33,40,50,67,74
COUNTY,4,NE,Nebraska,Dundy County,815,250,31,9,13.08,801,426,491,653,828,909,60300,18090,36053,901,452,468,680,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,25,29,38,49,53
COUNTY,4,NE,Nebraska,Fillmore County,2460,636,26,9,12.7,801,426,538,653,888,908,66100,19830,35277,882,496,468,661,240,17040,21520,26120,35520,36320,8.19,10.35,12.56,17.08,17.46,36,46,56,76,78,26,33,40,54,55
COUNTY,4,NE,Nebraska,Franklin County,1389,229,16,9,11.03,801,426,499,653,886,1150,62600,18780,33375,834,470,468,573,240,17040,19960,26120,35440,46000,8.19,9.6,12.56,17.04,22.12,36,43,56,76,98,30,35,46,62,80
COUNTY,4,NE,Nebraska,Frontier County,1097,264,24,9,12.39,801,426,491,653,819,889,60600,18180,40275,1007,455,468,644,240,17040,19640,26120,32760,35560,8.19,9.44,12.56,15.75,17.1,36,42,56,70,76,26,30,41,51,55
COUNTY,4,NE,Nebraska,Furnas County,2227,693,31,9,11.46,801,426,491,653,819,906,53900,16170,27190,680,404,468,596,240,17040,19640,26120,32760,36240,8.19,9.44,12.56,15.75,17.42,36,42,56,70,77,29,33,44,55,61
COUNTY,4,NE,Nebraska,Gage County,9251,2818,30,9,11.11,801,417,491,653,846,985,65600,19680,33635,841,492,468,578,240,16680,19640,26120,33840,39400,8.02,9.44,12.56,16.27,18.94,36,42,56,72,84,29,34,45,59,68
COUNTY,4,NE,Nebraska,Garden County,867,179,21,9,11.2,801,426,491,653,819,889,70100,21030,38196,955,526,468,582,240,17040,19640,26120,32760,35560,8.19,9.44,12.56,15.75,17.1,36,42,56,70,76,29,34,45,56,61
COUNTY,4,NE,Nebraska,Garfield County,920,223,24,9,6.27,801,426,491,653,828,909,55600,16680,22559,564,417,468,326,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,52,60,80,102,111
COUNTY,4,NE,Nebraska,Gosper County,811,246,30,9,18.91,801,426,491,653,950,1069,68000,20400,62819,1570,510,468,983,240,17040,19640,26120,38000,42760,8.19,9.44,12.56,18.27,20.56,36,42,56,81,91,17,20,27,39,43
COUNTY,4,NE,Nebraska,Grant County,272,61,22,9,16.83,801,426,491,653,828,909,50800,15240,55345,1384,381,468,875,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,19,22,30,38,42
COUNTY,4,NE,Nebraska,Greeley County,1025,201,20,9,11.27,801,426,491,653,819,889,55100,16530,35987,900,413,468,586,240,17040,19640,26120,32760,35560,8.19,9.44,12.56,15.75,17.1,36,42,56,70,76,29,34,45,56,61
COUNTY,4,NE,Nebraska,Hall County,22572,8718,39,9,11.31,801,491,579,770,1048,1138,59700,17910,32990,825,448,468,588,240,19640,23160,30800,41920,45520,9.44,11.13,14.81,20.15,21.88,42,49,66,90,97,33,39,52,71,77
COUNTY,4,NE,Nebraska,Hamilton County,3705,711,19,9,13.55,801,450,530,705,1025,1242,71500,21450,39733,993,536,468,704,240,18000,21200,28200,41000,49680,8.65,10.19,13.56,19.71,23.88,38,45,60,88,106,26,30,40,58,71
COUNTY,4,NE,Nebraska,Harlan County,1590,381,24,9,6.87,801,426,491,653,819,889,62200,18660,22578,564,467,468,357,240,17040,19640,26120,32760,35560,8.19,9.44,12.56,15.75,17.1,36,42,56,70,76,48,55,73,92,100
COUNTY,4,NE,Nebraska,Hayes County,441,149,34,9,19.02,801,472,544,723,917,1007,60600,18180,53266,1332,455,468,989,240,18880,21760,28920,36680,40280,9.08,10.46,13.9,17.63,19.37,40,46,62,78,86,19,22,29,37,41
COUNTY,4,NE,Nebraska,Hitchcock County,1288,320,25,9,13.63,801,426,491,653,891,919,55500,16650,27488,687,416,468,709,240,17040,19640,26120,35640,36760,8.19,9.44,12.56,17.13,17.67,36,42,56,76,79,24,28,37,50,52
COUNTY,4,NE,Nebraska,Holt County,4569,1197,26,9,13.22,801,426,532,653,819,1150,62500,18750,40098,1002,469,468,687,240,17040,21280,26120,32760,46000,8.19,10.23,12.56,15.75,22.12,36,45,56,70,98,25,31,38,48,67
COUNTY,4,NE,Nebraska,Hooker County,301,71,24,9,11.78,801,426,491,653,828,909,47400,14220,36841,921,356,468,613,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,28,32,43,54,59
COUNTY,4,NE,Nebraska,Howard County,2601,577,22,9,7.6,801,417,491,653,886,891,69300,20790,29232,731,520,468,395,240,16680,19640,26120,35440,35640,8.02,9.44,12.56,17.04,17.13,36,42,56,76,76,42,50,66,90,90
COUNTY,4,NE,Nebraska,Jefferson County,3303,804,24,9,10.52,801,426,491,653,819,909,56900,17070,28885,722,427,468,547,240,17040,19640,26120,32760,36360,8.19,9.44,12.56,15.75,17.48,36,42,56,70,78,31,36,48,60,66
COUNTY,4,NE,Nebraska,Johnson County,1880,490,26,9,9.97,801,426,491,653,886,889,61300,18390,32739,818,460,468,518,240,17040,19640,26120,35440,35560,8.19,9.44,12.56,17.04,17.1,36,42,56,76,76,33,38,50,68,69
COUNTY,4,NE,Nebraska,Kearney County,2752,846,31,9,12.83,801,476,580,729,914,993,65200,19560,41503,1038,489,468,667,240,19040,23200,29160,36560,39720,9.15,11.15,14.02,17.58,19.1,41,50,62,78,85,29,35,44,55,60
COUNTY,4,NE,Nebraska,Keith County,3926,1342,34,9,9.85,801,426,491,653,819,889,61500,18450,27225,681,461,468,512,240,17040,19640,26120,32760,35560,8.19,9.44,12.56,15.75,17.1,36,42,56,70,76,33,38,51,64,69
COUNTY,4,NE,Nebraska,Keya Paha County †,338,100,30,9,,801,426,491,653,828,909,49700,14910,33037,826,373,468,,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,,,,,
COUNTY,4,NE,Nebraska,Kimball County,1591,517,32,9,15.33,801,453,522,694,870,945,56900,17070,34558,864,427,468,797,240,18120,20880,27760,34800,37800,8.71,10.04,13.35,16.73,18.17,39,45,59,74,81,23,26,35,44,47
COUNTY,4,NE,Nebraska,Knox County,3648,933,26,9,10.01,801,426,569,653,950,1035,62100,18630,32860,821,466,468,520,240,17040,22760,26120,38000,41400,8.19,10.94,12.56,18.27,19.9,36,49,56,81,88,33,44,50,73,80
COUNTY,4,NE,Nebraska,Lancaster County,119254,48632,41,9,11.43,801,566,634,830,1186,1423,78400,23520,31341,784,588,468,595,240,22640,25360,33200,47440,56920,10.88,12.19,15.96,22.81,27.37,48,54,71,101,122,38,43,56,80,96
COUNTY,4,NE,Nebraska,Lincoln County,14965,5149,34,9,12.02,801,435,513,682,923,929,65800,19740,37053,926,494,468,625,240,17400,20520,27280,36920,37160,8.37,9.87,13.12,17.75,17.87,37,44,58,79,79,28,33,44,59,59
COUNTY,4,NE,Nebraska,Logan County,352,115,33,9,11.39,801,426,491,653,837,909,62200,18660,42223,1056,467,468,592,240,17040,19640,26120,33480,36360,8.19,9.44,12.56,16.1,17.48,36,42,56,72,78,29,33,44,57,61
COUNTY,4,NE,Nebraska,Loup County †,248,47,19,9,,801,426,491,653,828,909,57900,17370,45255,1131,434,468,,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,,,,,
COUNTY,4,NE,Nebraska,McPherson County †,195,64,33,9,,801,426,491,653,828,909,63700,19110,62650,1566,478,468,,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,,,,,
COUNTY,4,NE,Nebraska,Madison County,14056,4887,35,9,11.03,801,441,520,692,923,996,64900,19470,29821,746,487,468,573,240,17640,20800,27680,36920,39840,8.48,10,13.31,17.75,19.15,38,44,59,79,85,31,36,48,64,69
COUNTY,4,NE,Nebraska,Merrick County,3311,873,26,9,12.36,801,417,560,653,950,975,63400,19020,35439,886,476,468,643,240,16680,22400,26120,38000,39000,8.02,10.77,12.56,18.27,18.75,36,48,56,81,83,26,35,41,59,61
COUNTY,4,NE,Nebraska,Morrill County,2008,653,33,9,12.8,801,426,569,653,819,931,57900,17370,32980,825,434,468,665,240,17040,22760,26120,32760,37240,8.19,10.94,12.56,15.75,17.9,36,49,56,70,80,26,34,39,49,56
COUNTY,4,NE,Nebraska,Nance County,1568,349,22,9,10.51,801,426,569,653,819,1011,60100,18030,28712,718,451,468,546,240,17040,22760,26120,32760,40440,8.19,10.94,12.56,15.75,19.44,36,49,56,70,86,31,42,48,60,74
COUNTY,4,NE,Nebraska,Nemaha County,2873,845,29,9,9.82,801,521,535,653,837,996,77000,23100,35485,887,578,468,511,240,20840,21400,26120,33480,39840,10.02,10.29,12.56,16.1,19.15,45,46,56,72,85,41,42,51,66,78
COUNTY,4,NE,Nebraska,Nuckolls County,2042,542,27,9,7.77,801,426,569,653,886,889,59200,17760,22361,559,444,468,404,240,17040,22760,26120,35440,35560,8.19,10.94,12.56,17.04,17.1,36,49,56,76,76,42,56,65,88,88
COUNTY,4,NE,Nebraska,Otoe County,6463,1703,26,9,10.1,801,429,498,657,868,1157,68300,20490,32988,825,512,468,525,240,17160,19920,26280,34720,46280,8.25,9.58,12.63,16.69,22.25,37,43,56,74,99,33,38,50,66,88
COUNTY,4,NE,Nebraska,Pawnee County,1249,286,23,9,7.81,801,426,491,653,848,909,60800,18240,23385,585,456,468,406,240,17040,19640,26120,33920,36360,8.19,9.44,12.56,16.31,17.48,36,42,56,72,78,42,48,64,84,90
COUNTY,4,NE,Nebraska,Perkins County,1241,294,24,9,10.65,801,426,491,653,821,1124,69500,20850,31180,780,521,468,554,240,17040,19640,26120,32840,44960,8.19,9.44,12.56,15.79,21.62,36,42,56,70,96,31,35,47,59,81
COUNTY,4,NE,Nebraska,Phelps County,3773,1146,30,9,12.28,801,426,519,653,950,1015,69700,20910,32913,823,523,468,638,240,17040,20760,26120,38000,40600,8.19,9.98,12.56,18.27,19.52,36,44,56,81,87,27,33,41,60,64
COUNTY,4,NE,Nebraska,Pierce County,2949,606,21,9,10.73,801,426,569,653,819,899,69200,20760,34456,861,519,468,558,240,17040,22760,26120,32760,35960,8.19,10.94,12.56,15.75,17.29,36,49,56,70,77,31,41,47,59,64
COUNTY,4,NE,Nebraska,Platte County,12737,3598,28,9,12.85,801,456,525,698,958,1001,71100,21330,39349,984,533,468,668,240,18240,21000,27920,38320,40040,8.77,10.1,13.42,18.42,19.25,39,45,60,82,86,27,31,42,57,60
COUNTY,4,NE,Nebraska,Polk County,2112,462,22,9,10.35,801,426,494,653,858,889,75600,22680,37514,938,567,468,538,240,17040,19760,26120,34320,35560,8.19,9.5,12.56,16.5,17.1,36,42,56,73,76,32,37,49,64,66
COUNTY,4,NE,Nebraska,Red Willow County,4572,1080,24,9,8.81,801,426,491,653,819,889,60400,18120,23186,580,453,468,458,240,17040,19640,26120,32760,35560,8.19,9.44,12.56,15.75,17.1,36,42,56,70,76,37,43,57,72,78
COUNTY,4,NE,Nebraska,Richardson County,3768,942,25,9,10.58,801,426,569,653,926,929,62900,18870,33337,833,472,468,550,240,17040,22760,26120,37040,37160,8.19,10.94,12.56,17.81,17.87,36,49,56,79,79,31,41,47,67,68
COUNTY,4,NE,Nebraska,Rock County,695,197,28,9,15.02,801,426,491,653,906,909,63400,19020,43848,1096,476,468,781,240,17040,19640,26120,36240,36360,8.19,9.44,12.56,17.42,17.48,36,42,56,77,78,22,25,33,46,47
COUNTY,4,NE,Nebraska,Saline County,5119,1804,35,9,12.68,801,499,574,764,958,1097,62700,18810,31464,787,470,468,659,240,19960,22960,30560,38320,43880,9.6,11.04,14.69,18.42,21.1,43,49,65,82,94,30,35,46,58,67
COUNTY,4,NE,Nebraska,Sarpy County,62907,18946,30,9,12.23,801,606,744,927,1248,1377,81600,24480,43445,1086,612,468,636,240,24240,29760,37080,49920,55080,11.65,14.31,17.83,24,26.48,52,64,79,107,118,38,47,58,78,87
COUNTY,4,NE,Nebraska,Saunders County,7991,1666,21,9,9.79,801,508,583,775,1125,1365,77000,23100,38086,952,578,468,509,240,20320,23320,31000,45000,54600,9.77,11.21,14.9,21.63,26.25,43,50,66,96,117,40,46,61,88,107
COUNTY,4,NE,Nebraska,Scotts Bluff County,14544,4604,32,9,11.56,801,435,513,682,855,1044,57500,17250,30296,757,431,468,601,240,17400,20520,27280,34200,41760,8.37,9.87,13.12,16.44,20.08,37,44,58,73,89,29,34,45,57,69
COUNTY,4,NE,Nebraska,Seward County,6348,1769,28,9,10.42,801,469,551,685,984,1206,77200,23160,35351,884,579,468,542,240,18760,22040,27400,39360,48240,9.02,10.6,13.17,18.92,23.19,40,47,59,84,103,35,41,51,73,89
COUNTY,4,NE,Nebraska,Sheridan County,2227,639,29,9,10.71,801,426,561,653,886,889,55500,16650,37027,926,416,468,557,240,17040,22440,26120,35440,35560,8.19,10.79,12.56,17.04,17.1,36,48,56,76,76,31,40,47,64,64
COUNTY,4,NE,Nebraska,Sherman County,1367,316,23,9,13.5,801,426,506,653,950,1002,62400,18720,45038,1126,468,468,702,240,17040,20240,26120,38000,40080,8.19,9.73,12.56,18.27,19.27,36,43,56,81,86,24,29,37,54,57
COUNTY,4,NE,Nebraska,Sioux County †,544,155,28,9,,801,426,491,653,819,909,55000,16500,44562,1114,413,468,,240,17040,19640,26120,32760,36360,8.19,9.44,12.56,15.75,17.48,36,42,56,70,78,,,,,
COUNTY,4,NE,Nebraska,Stanton County,2342,364,16,9,22.18,801,426,491,653,859,1053,64000,19200,43652,1091,480,468,1153,240,17040,19640,26120,34360,42120,8.19,9.44,12.56,16.52,20.25,36,42,56,73,90,15,17,23,30,37
COUNTY,4,NE,Nebraska,Thayer County,2375,543,23,9,13.87,801,426,510,653,859,956,62600,18780,37361,934,470,468,721,240,17040,20400,26120,34360,38240,8.19,9.81,12.56,16.52,18.38,36,44,56,73,82,24,28,36,48,53
COUNTY,4,NE,Nebraska,Thomas County,298,87,29,9,8.13,801,426,491,653,828,909,67800,20340,31342,784,509,468,423,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,40,46,62,78,86
COUNTY,4,NE,Nebraska,Thurston County,2096,825,39,9,12.33,801,488,491,653,819,889,49800,14940,26390,660,374,468,641,240,19520,19640,26120,32760,35560,9.38,9.44,12.56,15.75,17.1,42,42,56,70,76,30,31,41,51,55
COUNTY,4,NE,Nebraska,Valley County,1916,563,29,9,8.7,801,426,491,653,836,909,62800,18840,25828,646,471,468,453,240,17040,19640,26120,33440,36360,8.19,9.44,12.56,16.08,17.48,36,42,56,71,78,38,43,58,74,80
COUNTY,4,NE,Nebraska,Washington County,8022,1743,22,9,11.69,801,606,744,927,1248,1377,81600,24480,34111,853,612,468,608,240,24240,29760,37080,49920,55080,11.65,14.31,17.83,24,26.48,52,64,79,107,118,40,49,61,82,91
COUNTY,4,NE,Nebraska,Wayne County,3567,1326,37,9,7.44,801,426,491,653,925,1150,76500,22950,27642,691,574,468,387,240,17040,19640,26120,37000,46000,8.19,9.44,12.56,17.79,22.12,36,42,56,79,98,44,51,67,96,119
COUNTY,4,NE,Nebraska,Webster County,1551,335,22,9,8.81,801,490,491,653,819,889,57600,17280,26065,652,432,468,458,240,19600,19640,26120,32760,35560,9.42,9.44,12.56,15.75,17.1,42,42,56,70,76,43,43,57,72,78
COUNTY,4,NE,Nebraska,Wheeler County,373,93,25,9,18.18,801,426,491,653,828,909,57900,17370,52129,1303,434,468,945,240,17040,19640,26120,33120,36360,8.19,9.44,12.56,15.92,17.48,36,42,56,71,78,18,21,28,35,38
COUNTY,4,NE,Nebraska,York County,5670,1673,30,9,9.25,801,426,541,653,871,1021,69300,20790,29834,746,520,468,481,240,17040,21640,26120,34840,40840,8.19,10.4,12.56,16.75,19.63,36,46,56,74,87,35,45,54,72,85
STATE,1,NH,New Hampshire,,521373,152820,29,7.25,15.13,777,810,908,1161,1530,1714,90040,27012,41977,1049,675,377,787,233,32392,36338,46426,61219,68578,15.57,17.47,22.32,29.43,32.97,86,96,123,162,182,41,46,59,78,87
NONMETRO,2,NH,New Hampshire,,198808,55322,28,7.25,13.57,777,738,829,1059,1386,1602,78531,23559,36114,903,589,377,705,233,29526,33174,42364,55452,64088,14.2,15.95,20.37,26.66,30.81,78,88,112,147,170,42,47,60,79,91
METRO,3,NH,New Hampshire,Boston-Cambridge-Quincy HMFA,4168,1498,36,7.25,15.07,777,1253,1421,1740,2182,2370,107800,32340,47077,1177,809,377,783,233,50120,56840,69600,87280,94800,24.1,27.33,33.46,41.96,45.58,133,151,185,232,251,64,73,89,111,121
METRO,3,NH,New Hampshire,Hillsborough County (part) HMFA,12949,2449,19,7.25,16.93,777,668,854,1048,1329,1759,87800,26340,39374,984,659,377,880,233,26720,34160,41920,53160,70360,12.85,16.42,20.15,25.56,33.83,71,91,111,141,187,30,39,48,60,80
METRO,3,NH,New Hampshire,Lawrence HMFA,53707,11833,22,7.25,15.07,777,815,929,1187,1488,1619,95000,28500,48985,1225,713,377,783,233,32600,37160,47480,59520,64760,15.67,17.87,22.83,28.62,31.13,86,99,126,158,172,42,47,61,76,83
METRO,3,NH,New Hampshire,Manchester HMFA,62118,26730,43,7.25,16.93,777,808,965,1218,1527,1659,82600,24780,41488,1037,620,377,880,233,32320,38600,48720,61080,66360,15.54,18.56,23.42,29.37,31.9,86,102,129,162,176,37,44,55,69,75
METRO,3,NH,New Hampshire,Nashua HMFA,81047,23819,29,7.25,16.93,777,790,938,1239,1722,1732,106300,31890,48607,1215,797,377,880,233,31600,37520,49560,68880,69280,15.19,18.04,23.83,33.12,33.31,84,100,131,183,184,36,43,56,78,79
METRO,3,NH,New Hampshire,Portsmouth-Rochester HMFA,91228,29229,32,7.25,15,777,934,940,1187,1631,1948,99200,29760,44224,1106,744,377,780,233,37360,37600,47480,65240,77920,17.96,18.08,22.83,31.37,37.46,99,100,126,173,207,48,48,61,84,100
METRO,3,NH,New Hampshire,Western Rockingham County HMFA,17348,1940,11,7.25,15.07,777,1055,1094,1442,1834,1964,106500,31950,57224,1431,799,377,783,233,42200,43760,57680,73360,78560,20.29,21.04,27.73,35.27,37.77,112,116,153,195,208,54,56,74,94,100
COUNTY,4,NH,New Hampshire,Belknap County,24464,5963,24,7.25,11.46,777,727,822,1065,1402,1451,76000,22800,34454,861,570,377,596,233,29080,32880,42600,56080,58040,13.98,15.81,20.48,26.96,27.9,77,87,113,149,154,49,55,71,94,97
COUNTY,4,NH,New Hampshire,Carroll County,20783,4260,20,7.25,11.52,777,720,836,1049,1326,1655,65800,19740,37869,947,494,377,599,233,28800,33440,41960,53040,66200,13.85,16.08,20.17,25.5,31.83,76,89,111,141,176,48,56,70,89,110
COUNTY,4,NH,New Hampshire,Cheshire County,30473,9085,30,7.25,12.03,777,753,868,1118,1455,1623,84300,25290,32437,811,632,377,625,233,30120,34720,44720,58200,64920,14.48,16.69,21.5,27.98,31.21,80,92,119,154,172,48,56,72,93,104
COUNTY,4,NH,New Hampshire,Coos County,13917,4013,29,7.25,9.45,777,641,676,776,1019,1191,58400,17520,25250,631,438,377,491,233,25640,27040,31040,40760,47640,12.33,13,14.92,19.6,22.9,68,72,82,108,126,52,55,63,83,97
COUNTY,4,NH,New Hampshire,Grafton County,34903,10996,32,7.25,17.8,777,700,798,1032,1294,1687,79100,23730,40246,1006,593,377,925,233,28000,31920,41280,51760,67480,13.46,15.35,19.85,24.88,32.44,74,85,109,137,179,30,34,45,56,73
COUNTY,4,NH,New Hampshire,Merrimack County,56790,16545,29,7.25,13.04,777,786,882,1122,1516,1694,87900,26370,37995,950,659,377,678,233,31440,35280,44880,60640,67760,15.12,16.96,21.58,29.15,32.58,83,94,119,161,180,46,52,66,89,100
COUNTY,4,NH,New Hampshire,Sullivan County,17478,4460,26,7.25,13,777,744,774,1029,1360,1532,71600,21480,36757,919,537,377,676,233,29760,30960,41160,54400,61280,14.31,14.88,19.79,26.15,29.46,79,82,109,144,163,44,46,61,80,91
STATE,1,NJ,New Jersey,,3195014,1147220,36,8.6,18.21,781,1040,1199,1465,1880,2164,93952,28186,44943,1124,705,447,947,234,41610,47945,58603,75214,86542,20,23.05,28.17,36.16,41.61,93,107,131,168,194,44,51,62,79,91
METRO,3,NJ,New Jersey,Atlantic City-Hammonton MSA,101083,33290,33,8.6,11.27,781,890,1020,1312,1734,1985,71600,21480,32216,805,537,447,586,234,35600,40800,52480,69360,79400,17.12,19.62,25.23,33.35,38.17,80,91,117,155,178,61,70,90,118,135
METRO,3,NJ,New Jersey,Bergen-Passaic HMFA *,498603,194653,39,8.6,17.83,781,1246,1439,1691,2161,2562,102300,30690,48138,1203,767,447,927,234,49840,57560,67640,86440,102480,23.96,27.67,32.52,41.56,49.27,111,129,151,193,229,54,62,73,93,111
METRO,3,NJ,New Jersey,Jersey City HMFA,251693,174234,69,8.6,29.7,781,1201,1351,1614,2042,2198,66500,19950,51597,1290,499,447,1544,234,48040,54040,64560,81680,87920,23.1,25.98,31.04,39.27,42.27,107,121,144,183,197,31,35,42,53,57
METRO,3,NJ,New Jersey,Middlesex-Somerset-Hunterdon HMFA,446670,138497,31,8.6,21.38,781,1040,1268,1627,2068,2474,107900,32370,55681,1392,809,447,1112,234,41600,50720,65080,82720,98960,20,24.38,31.29,39.77,47.58,93,113,146,185,221,37,46,59,74,89
METRO,3,NJ,New Jersey,Monmouth-Ocean HMFA,455477,105428,23,8.6,12.07,781,932,1126,1461,1978,2259,99300,29790,41664,1042,745,447,628,234,37280,45040,58440,79120,90360,17.92,21.65,28.1,38.04,43.44,83,101,131,177,202,59,72,93,126,144
METRO,3,NJ,New Jersey,Newark HMFA,699752,286678,41,8.6,20.63,781,988,1082,1314,1685,1950,95400,28620,41179,1029,716,447,1073,234,39520,43280,52560,67400,78000,19,20.81,25.27,32.4,37.5,88,97,118,151,174,37,40,49,63,73
METRO,3,NJ,New Jersey,Ocean City MSA,40073,9468,24,8.6,8.79,781,719,930,1127,1553,1867,78700,23610,32604,815,590,447,457,234,28760,37200,45080,62120,74680,13.83,17.88,21.67,29.87,35.9,64,83,101,139,167,63,81,99,136,163
METRO,3,NJ,New Jersey,Philadelphia-Camden-Wilmington MSA *,479362,128565,27,8.6,13.62,781,883,1047,1266,1587,1787,87400,26220,39329,983,656,447,708,234,35320,41880,50640,63480,71480,16.98,20.13,24.35,30.52,34.37,79,94,113,142,160,50,59,71,90,101
METRO,3,NJ,New Jersey,Trenton MSA,130129,46728,36,8.6,17.88,781,893,1072,1329,1733,2008,98900,29670,39477,987,742,447,930,234,35720,42880,53160,69320,80320,17.17,20.62,25.56,33.33,38.62,80,96,119,155,180,38,46,57,75,86
METRO,3,NJ,New Jersey,Vineland-Bridgeton MSA,50718,18086,36,8.6,11.2,781,789,873,1155,1517,1782,62400,18720,28093,702,468,447,582,234,31560,34920,46200,60680,71280,15.17,16.79,22.21,29.17,34.27,71,78,103,136,159,54,60,79,104,122
METRO,3,NJ,New Jersey,Warren County HMFA,41454,11593,28,8.6,13.35,781,872,1020,1228,1540,1813,94800,28440,43065,1077,711,447,694,234,34880,40800,49120,61600,72520,16.77,19.62,23.62,29.62,34.87,78,91,110,138,162,50,59,71,89,104
COUNTY,4,NJ,New Jersey,Atlantic County,101083,33290,33,8.6,11.27,781,890,1020,1312,1734,1985,71600,21480,32216,805,537,447,586,234,35600,40800,52480,69360,79400,17.12,19.62,25.23,33.35,38.17,80,91,117,155,178,61,70,90,118,135
COUNTY,4,NJ,New Jersey,Bergen County *,337069,119028,35,8.6,19.15,781,1246,1439,1691,2161,2562,102300,30690,55651,1391,767,447,996,234,49840,57560,67640,86440,102480,23.96,27.67,32.52,41.56,49.27,111,129,151,193,229,50,58,68,87,103
COUNTY,4,NJ,New Jersey,Burlington County *,164623,38957,24,8.6,16.35,781,883,1047,1266,1587,1787,87400,26220,50913,1273,656,447,850,234,35320,41880,50640,63480,71480,16.98,20.13,24.35,30.52,34.37,79,94,113,142,160,42,49,60,75,84
COUNTY,4,NJ,New Jersey,Camden County *,185722,60995,33,8.6,12.56,781,883,1047,1266,1587,1787,87400,26220,33181,830,656,447,653,234,35320,41880,50640,63480,71480,16.98,20.13,24.35,30.52,34.37,79,94,113,142,160,54,64,78,97,109
COUNTY,4,NJ,New Jersey,Cape May County,40073,9468,24,8.6,8.79,781,719,930,1127,1553,1867,78700,23610,32604,815,590,447,457,234,28760,37200,45080,62120,74680,13.83,17.88,21.67,29.87,35.9,64,83,101,139,167,63,81,99,136,163
COUNTY,4,NJ,New Jersey,Cumberland County,50718,18086,36,8.6,11.2,781,789,873,1155,1517,1782,62400,18720,28093,702,468,447,582,234,31560,34920,46200,60680,71280,15.17,16.79,22.21,29.17,34.27,71,78,103,136,159,54,60,79,104,122
COUNTY,4,NJ,New Jersey,Essex County,279480,156180,56,8.6,19.45,781,988,1082,1314,1685,1950,95400,28620,34167,854,716,447,1011,234,39520,43280,52560,67400,78000,19,20.81,25.27,32.4,37.5,88,97,118,151,174,39,43,52,67,77
COUNTY,4,NJ,New Jersey,Gloucester County *,104762,21617,21,8.6,10.12,781,883,1047,1266,1587,1787,87400,26220,38108,953,656,447,526,234,35320,41880,50640,63480,71480,16.98,20.13,24.35,30.52,34.37,79,94,113,142,160,67,80,96,121,136
